Database initialization time: 2015/05/02_15:55:42
Time Written: 2015/05/02_16:01:08 | Entry: User john Created
Time Written: 2015/05/02_16:01:08 | Entry: pwd written for user john
Time Written: 2015/05/02_16:28:43 | Entry: User a Created
Time Written: 2015/05/02_16:28:43 | Entry: pwd written for user a
Time Written: 2015/05/02_16:28:50 | Entry: User data written for user a
Time Written: 2015/05/02_16:28:50 | Entry: IV written for user a
Time Written: 2015/05/02_16:28:50 | Entry: User a logged out.
Time Written: 2015/05/02_16:28:57 | Entry: Pwd read for user a
Time Written: 2015/05/02_16:28:57 | Entry: pwd authentication success for user a
Time Written: 2015/05/02_16:28:57 | Entry: User data read for user a
Time Written: 2015/05/02_16:28:57 | Entry: IV read for user a
Time Written: 2015/05/02_16:29:12 | Entry: pwd written for user a
Time Written: 2015/05/02_16:29:15 | Entry: User data written for user a
Time Written: 2015/05/02_16:29:15 | Entry: IV written for user a
Time Written: 2015/05/02_16:29:15 | Entry: User a logged out.
Time Written: 2015/05/02_16:29:22 | Entry: Pwd read for user a
Time Written: 2015/05/02_16:29:22 | Entry: pwd authentication failed for user a
Time Written: 2015/05/02_16:29:25 | Entry: Pwd read for user a
Time Written: 2015/05/02_16:29:25 | Entry: pwd authentication success for user a
Time Written: 2015/05/02_16:29:25 | Entry: User data read for user a
Time Written: 2015/05/02_16:29:25 | Entry: IV read for user a
Time Written: 2015/05/02_16:29:34 | Entry: User data written for user a
Time Written: 2015/05/02_16:29:34 | Entry: IV written for user a
Time Written: 2015/05/02_16:29:34 | Entry: User a logged out.
Time Written: 2015/05/02_16:30:44 | Entry: User j Created
Time Written: 2015/05/02_16:30:44 | Entry: pwd written for user j
Time Written: 2015/05/02_16:30:48 | Entry: User data written for user j
Time Written: 2015/05/02_16:30:48 | Entry: IV written for user j
Time Written: 2015/05/02_16:30:48 | Entry: User j logged out.
Time Written: 2015/05/02_16:30:57 | Entry: Pwd read for user j
Time Written: 2015/05/02_16:30:57 | Entry: pwd authentication success for user j
Time Written: 2015/05/02_16:30:57 | Entry: User data read for user j
Time Written: 2015/05/02_16:30:57 | Entry: IV read for user j
Time Written: 2015/05/02_16:31:12 | Entry: User data written for user j
Time Written: 2015/05/02_16:31:12 | Entry: IV written for user j
Time Written: 2015/05/02_16:31:12 | Entry: User j logged out.
Time Written: 2015/05/02_16:31:58 | Entry: Pwd read for user j
Time Written: 2015/05/02_16:31:58 | Entry: pwd authentication success for user j
Time Written: 2015/05/02_16:31:58 | Entry: User data read for user j
Time Written: 2015/05/02_16:31:58 | Entry: IV read for user j
Time Written: 2015/05/02_16:32:00 | Entry: User data written for user j
Time Written: 2015/05/02_16:32:00 | Entry: IV written for user j
Time Written: 2015/05/02_16:32:00 | Entry: User j logged out.
Time Written: 2015/05/02_16:32:11 | Entry: User bob Created
Time Written: 2015/05/02_16:32:11 | Entry: pwd written for user bob
Time Written: 2015/05/02_16:32:13 | Entry: User data written for user bob
Time Written: 2015/05/02_16:32:13 | Entry: IV written for user bob
Time Written: 2015/05/02_16:32:13 | Entry: User bob logged out.
Time Written: 2015/05/02_16:32:19 | Entry: Pwd read for user bob
Time Written: 2015/05/02_16:32:19 | Entry: pwd authentication success for user bob
Time Written: 2015/05/02_16:32:19 | Entry: User data read for user bob
Time Written: 2015/05/02_16:32:19 | Entry: IV read for user bob
Time Written: 2015/05/02_16:32:27 | Entry: pwd written for user bob
Time Written: 2015/05/02_16:32:32 | Entry: User data written for user bob
Time Written: 2015/05/02_16:32:32 | Entry: IV written for user bob
Time Written: 2015/05/02_16:32:32 | Entry: User bob logged out.
Time Written: 2015/05/02_16:32:38 | Entry: Pwd read for user bob
Time Written: 2015/05/02_16:32:38 | Entry: pwd authentication success for user bob
Time Written: 2015/05/02_16:32:38 | Entry: User data read for user bob
Time Written: 2015/05/02_16:32:38 | Entry: IV read for user bob
Time Written: 2015/05/02_16:32:41 | Entry: User data written for user bob
Time Written: 2015/05/02_16:32:41 | Entry: IV written for user bob
Time Written: 2015/05/02_16:32:41 | Entry: User bob logged out.
Time Written: 2015/05/03_14:35:50 | Entry: User e Created
Time Written: 2015/05/03_14:35:50 | Entry: pwd written for user e
Time Written: 2015/05/03_14:35:52 | Entry: User data written for user e
Time Written: 2015/05/03_14:35:52 | Entry: IV written for user e
Time Written: 2015/05/03_14:35:52 | Entry: User e logged out.
Time Written: 2015/05/03_14:36:17 | Entry: Pwd read for user e
Time Written: 2015/05/03_14:36:17 | Entry: pwd authentication success for user e
Time Written: 2015/05/03_14:36:17 | Entry: User data read for user e
Time Written: 2015/05/03_14:36:17 | Entry: IV read for user e
Time Written: 2015/05/03_14:36:34 | Entry: pwd written for user e
Time Written: 2015/05/03_14:36:36 | Entry: User data written for user e
Time Written: 2015/05/03_14:36:36 | Entry: IV written for user e
Time Written: 2015/05/03_14:36:36 | Entry: User e logged out.
Time Written: 2015/05/03_14:37:16 | Entry: Pwd read for user e
Time Written: 2015/05/03_14:37:16 | Entry: pwd authentication success for user e
Time Written: 2015/05/03_14:37:16 | Entry: User data read for user e
Time Written: 2015/05/03_14:37:16 | Entry: IV read for user e
